Part,Description,Bin,Stock Max,ROP,On Hand,On Order,Qty Sugg,Status,Avg Month,Hi Mth,Lo Mth
2546325000,GASKET-W/INLET PIPET               ,C3/J20,0,0,1,0,0,Non,0,0,0
254702G050,PIPE & HOSE ASSY-OIL COOLER        ,A4/D00,0,0,1,0,0,Non,0,0,0
254702G650QQH,TUBE ASSY-OIL COOLER               ,B2/F00,0,0,1,0,1,Non,0.17,1,0
254802E000,HOSE ASSY-HEATER PIPE              ,B6/J01,0,0,1,0,0,Non,0,0,0
255002E000,THERMOSTAT ASSY                    ,C1/K,0,0,14,0,0,Non,0,0,0
255003L300,THERMOSTAT ASSY                    ,B6/C00,1,1,0,0,0,Actv,0.5,1,0
256002S001QQH,INTEGRATED THERMAL-MANAGEMENT      ,B1/B00,1,1,0,0,0,Actv,0.17,1,0
2561235511,GASKET-W/OUTLET FITTING            ,C3/I24,0,0,2,0,0,Non,0,0,0
256232B000,O-RING                             ,C3/J18,0,0,2,0,0,Non,0,0,0
256232E000,O-RING                             ,B6/G10,0,0,1,0,0,Non,0,0,0
256232J000,GASKET-THERMOSTAT HOUSING          ,C3/I16,0,0,1,0,0,Non,0,0,0
25625D3000,O-RING                             ,B6/F16,0,0,1,0,0,Non,0,0,0
256403L300,GASKET-COOLANT INLET FITTING       ,B6/I05,1,1,0,0,0,Actv,0.5,1,0
256412G500,GASKET-THERMOSTAT HOUSING          ,C3/I05,0,0,4,0,0,Non,0,0,0
256422G500,GASKET-THERMOSTAT HOUSING          ,C3/I06,0,0,3,0,0,Non,0,0,0
262502E031,SCREEN ASSY-OIL                    ,C2/I00,0,0,1,0,1,Non,0,0,0
262592B000,GASKET-OIL SCREEN                  ,C3/I12,0,0,1,0,1,Non,0,0,0
262592E020,GASKET-OIL SCREEN                  ,C3/I21,0,0,1,0,1,Non,0,0,0
2625935510,GASKET-OIL SCREEN                  ,C3/I19,0,0,1,0,0,Non,0,0,0
2630035505,FILTER ASSY-ENGINE OIL             ,421,43,30,21,40,21,Actv,42.17,64,12
263003LAA1,COMPLETE ASSY-OIL FILTER           ,B1/B00,1,1,0,1,0,Actv,0.83,1,0
263203C100,SERVICE KIT-OIL FILTER(2)          ,423,1,1,48,0,0,Actv,0.33,2,0
263203C250,SERVICE KIT-OIL FILTER(2)          ,423,0,0,31,0,0,Non,0,0,0
263203C30A,SERVICE KIT-OIL FILTER(2)          ,421,0,0,10,0,0,Non,0.17,1,0
263203CAA0,SERVICE KIT-OIL FILTER(3)          ,422,3,3,3,0,2,Actv,2,3,0
263203CKB0,SERVICE KIT-OIL FILTER(2)          ,422,23,16,16,0,16,Actv,22,39,3
263203F500,SERVICE KIT-OIL FILTER(2)          ,422,1,1,2,0,0,Actv,0.83,3,0
263203N000,SERVICE KIT-OIL FILTER             ,423,2,2,35,0,0,Actv,1,2,0
263453CAB1,"OIL SEAL,RR                        ",C3/J25,0,0,1,0,0,Non,0,0,0
263453LAA1,SEAL-OIL                           ,B1/I13,1,1,1,0,1,Actv,0.5,2,0
263502J001,SERVICE KIT-OIL FILTER             ,421,12,10,11,0,11,Actv,11.5,22,1
263502M000,SERVICE KIT-OIL FILTER             ,423,29,20,12,10,12,Actv,28.83,47,8
263502S001,SERVICE KIT-OIL FILTER             ,422,52,36,36,0,36,Actv,48.67,68,11
263513C100,CAP-OIL FILTER                     ,C2/F00,0,0,1,0,0,Non,0,0,0
263513C250,CAP-OIL FILTER                     ,C2/F00,0,0,1,0,0,Non,0,0,0
264102B740,COOLER ASSY-ENG OIL                ,C4/C00,0,0,1,0,0,Non,0,0,0
2651026630,CAP-OIL FILLER                     ,B6/F14,0,0,1,0,0,Non,0,0,0
266112G050QQH,ROD ASSY-OIL LEVEL GAUGE           ,A1/E00,1,1,2,0,0,Actv,0.17,1,0
26H09AK013R,"BLADE ASSY-WIPER,RR                ",RACK,0,0,8,0,0,Non,0,0,0
2741023700,PLUG ASSY-SPARK                    ,C4/D00,0,0,6,0,0,Non,0,0,0
2741037100,PLUG ASSY-SPARK                    ,C4/D00,0,0,8,0,0,Non,0,0,0
28110L0400,CLEANER ASSY-AIR                   ,B7/A00,0,0,1,0,0,Non,0,0,0
281131R100AS,FILTER-AIR CLEANER                 ,412,1,1,3,0,0,Actv,0.17,1,0
281132B000,FILTER-AIR CLEANER                 ,410,0,0,1,0,1,Non,0,0,0
281132P100,FILTER-AIR CLEANER                 ,411,0,0,18,0,1,Non,0.33,2,0
281132S000,FILTER-AIR CLEANER                 ,411,0,0,3,0,2,Non,0.33,2,0
281132W100,FILTER-AIR CLEANER                 ,415,1,1,2,0,2,Actv,0.5,1,0
281133M000,FILTER-AIR CLEANER                 ,412,0,0,3,0,0,Non,0,0,0
281133X000,FILTER-AIR CLEANER                 ,412,1,1,1,0,0,Actv,0.17,1,0
